bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
PDE6B,ADAP1,AK5,HOMER2
AC078909.1,B4GALNT1,AC005162.3,DGKZ
AC112770.1,OTUD6B-AS1,GCNT4,C11orf58
SLC36A1,DYNLL2,AC040174.1,SH3GL2
DPP4,CALCOCO1,METTL7B,ARID5B
GLDC,PITHD1,AC093833.1,SRPK2
FBN1,TLE3,ABO,GABRB3
TMEM259,DIRAS1,NPTN-IT1,UBN2
KCNQ3,UBE2Q1,CCDC144NL-AS1,RPAP2
AC069120.1,RPS5,CPSF1,KMT2E
TMEM18,HNRNPH2,TGFA,ACSL6
NEIL1,ZBTB7A,IRX6,SELENOO
KIAA0319L,PNMA8A,AL591115.1,PWWP3A
DHRS11,C2orf74,TRMT1,KMT2A
XXYLT1,BTBD6,AC096589.2,RPL37
SMIM19,UPF1,COL3A1,HSPA1B
PDPR,ERICH6,LINC02826,RAD18
AL592546.2,CALM3,GUCA1C,SLAIN1
RFX3-AS1,SOD2,AC133528.1,TOMM7
GLMN,SAP18,HGF,CRELD1
EFNA5,GSK3A,LARGE1,TRAF6
SATB2,EFNA3,LINC01609,PDXK
SORL1,TNK2-AS1,AC108046.1,DCUN1D4
CIP2A,PER1,ZNF600,NCOA2
ORMDL1,SNAPC2,LMCD1-AS1,FRA10AC1
BTF3,ARHGEF17,YES1,GPBP1
L3MBTL4,SAMD1,AC124864.3,SPRED1
LINC00294,ZMYND8,LINC02698,KLHL23
ZBBX,NACA,HTR2C,CLASP1
FCHSD2,CA4,CR382287.2,SMPD3
DAB2IP,HNRNPK,PTPRM,FGF12
CDRT4,PFKP,LINC00987,C20orf194
KATNB1,GPR162,OPN4,ANXA6
PIK3R1,KCNC1,RASGEF1C,RPS23
TASP1,CIART,AL161752.1,CHL1
PTPRT,CCNG2,SNTG2-AS1,LRFN2
FAT3,ANKRD20A4,TENM4,AF117829.1
SEC24B-AS1,EFCAB5,AC114689.3,MAIP1
HSF4,TPRG1L,LINC02335,WDR61
RBM3,DUSP8,AC111152.2,CAMKK2
RTF1,ADGRB1,PLXNA3,TRPM7
MNS1,IDI1,LINC01219,PHACTR3
KIF17,GNB2,MYL7,CCNY
ALG1L9P,C1QBP,AC097375.4,TOM1L2
PAPSS2,WDR83OS,AC017091.1,PSAP
VAMP1,C19orf18,G6PC2,ATP9A
VEGFB,ARHGDIG,AC026462.4,ZCCHC7
KDM3A,SRP9,LINC02330,CD47
KCNF1,WDR82,TCF21,PTPRN2
TMLHE-AS1,AL357972.1,ARMH1,ERO1B
DAPK2,LAGE3,NEDD4,TNRC6B
SYT12,RPS6KA5,AL161640.1,NAP1L1
PDGFRB,OAZ1,AC098859.2,TTC39B
RNF144A,LRRTM2,LINC00395,UQCRB
NFIA,LINC01619,SIGIRR,MFAP3
KLF13,DYNLL1,PTGDR,FAM49A
RNF165,LRFN4,AL121852.1,MIB1
LINC00898,EHD3,CMTM8,HSPA12A
LAMP2,SERPINE1,AC008786.1,OSBPL8
SMARCD2,AL135978.2,AC008415.1,IFI6
COL12A1,IGIP,ARHGEF28,RRP12
PLEKHH2,INA,LINC02519,KIAA1841
NR2F1-AS1,IFITM10,CHMP1B-AS1,ENO2
MTBP,AP2M1,NALCN-AS1,TENT2
AC092691.1,MTURN,BX322234.1,NEMF
B3GLCT,RHOB,CAMK2D,TTC3
SPTSSB,PPDPF,SPAG17,CCDC171
AL672277.1,DPP7,ZP3,COLQ
LINC01117,KLHDC3,AC109466.1,ELP1
HECW1,RFPL2,IL22RA1,ZFC3H1
NT5C,LINC02762,AC108863.2,GGA2
STXBP5-AS1,ARHGAP23,GPRC5D-AS1,DDX17
PYGB,PABPC4,AL591888.1,CDK12
PIGZ,PLXNA1,SLC9A3-AS1,LMTK2
BAALC,CDK2AP1,AL133166.1,EP400
MSANTD3,SERPINB8,SLC2A14,MPP6
RHBDL1,BTF3,AL390964.1,HOOK3
RPL14,CCK,HHIP,MAL2
ZBTB16,AC239809.3,AF064858.1,SERPINH1
MXD3,SLC25A3,KCNK2,CEP192
CCDC65,TOMM20,TANC1,UBE2G2
DCX,SMARCD3,AL442636.1,FBXW7
ONECUT2,LGI3,AL135878.1,SYT16
