,earlyAD,lateAD
979,DARS,LINC00472
980,CEBPG,SGCB
981,AC009522.1,ZBTB34
982,YOD1,AC104417.2
983,MIR137HG,SYT4
984,ELF2,ERMP1
985,KHDRBS2-OT,AC005532.1
986,AHR,VASP
987,RTN1,RASEF
988,ENSA,LPAR1
989,MAPK1,MAPK3
990,AC092384.1,LINC01018
991,COX7B2,MPST
992,PRDM2,FLT1
993,GRIA2,SERPINB6
994,SETD5,SLA
995,VGLL4,AP000254.2
996,FNIP1,PELI2
997,PACS1,CLEC1A
998,ZNF407,CEP170
999,GSPT1,SIGLEC8
1000,CERS5,NT5DC2
1001,ZNF800,ARAP1
1002,ITGB1-DT,ARL5B
1003,CDK19,AP003066.1
1004,ITPKC,AC106865.2
1005,P2RX7,COL6A1
1006,JDP2,PECAM1
1007,CDC42BPA,KLHL17
1008,FOXK2,ADORA3
1009,BLOC1S6,SH3BP4
1010,THRB,PIP4K2B
1011,RFLNB,NFATC1
1012,MAEL,AC009509.4
1013,GLRA3,GRK2
1014,CYP1B1-AS1,AGAP3
1015,DHDH,HYI
1016,SVIP,AL031663.3
1017,RORB,TMX1
1018,PXYLP1,AC090844.2
1019,ARL4A,YPEL5
1020,VSNL1,TPRN
1021,KCND3,OIT3
1022,GLRX,AC107021.2
1023,AC013287.1,LGALS9
1024,VAPA,CD86
1025,PCBP1-AS1,CFL2
1026,RLF,ACAN
1027,FYTTD1,SDCBP
1028,ZBTB38,PHYHD1
1029,WDPCP,RFLNB
1030,NECTIN3-AS1,NACC1
1031,BDKRB2,SLITRK3
1032,ITGB3BP,MGAT1
1033,UHRF1BP1L,RPL4
1034,RNF216,HELLS
1035,PDP1,FAM131B
1036,PTCHD1,AC024560.3
1037,ERRFI1,SOCS5
1038,C5orf24,PACRG-AS3
1039,SORCS1,MBD3
1040,UBE2R2,PRDX1
1041,SVEP1,NEUROD1
1042,TMEM38A,TRIM28
1043,PPARG,PADI2
1044,DNAJA2,ROM1
1045,AC104461.1,TMUB1
1046,COA6,BIRC3
1047,IL17RC,TMEM106B
1048,GINS3,PPP1R36
1049,STAT3,MXI1
1050,UBA6-AS1,PLOD2
1051,ABHD17A,GAL3ST2
1052,ELOB,FZD9
1053,ENO1,LURAP1L-AS1
1054,NOL7,FCER2
1055,IMPA1,GNA13
1056,AL158071.3,HMG20B
1057,DENND5A,GNAZ
1058,DNTTIP2,CAPN3
1059,TARSL2,DUSP7
1060,RCOR3,DTHD1
1061,FBXO33,HSD17B1
1062,NBPF26,C21orf62-AS1
1063,NEAT1,LINC01151
1064,CNTNAP2,TP53INP1
1065,LIMCH1,ZFP36L1
1066,AL008725.1,CNBP
1067,ATF2,IRS1
1068,HSPA13,EPB41
1069,SLC41A2,WDR5B
1070,EPB41L2,AC002428.2
1071,JMJD6,DUSP10
1072,VPS13C,PLXDC2
1073,UBR5,DHCR24
1074,PKNOX1,TMC7
1075,AL139815.1,INA
1076,NDUFA10,ZMIZ1
1077,UHRF2,VAPA
1078,AL139260.1,IRF2BP1
1079,NMT1,PTGES
1080,SEMA4C,DHFR
1081,SLC30A7,MYRF
1082,PI15,AC018638.7
1083,INHBA,DOK3
1084,FGF5,SUGT1
1085,CCNYL1,AC015660.3
1086,DAGLB,HIF1A-AS3
1087,IARS,ARID2
1088,GALNT6,SPATA5
1089,SH3BGRL2,CCDC160
1090,DOCK3,SLC26A9
1091,GRID1,JPX
1092,HIKESHI,FAM107A
1093,ERO1A,AC012494.2
1094,CUX1,AGAP2-AS1
1095,ITPK1,PTPRC
1096,PIAS4,NIPBL
1097,NFKBIA,POLD1
1098,CCDC88A,CDKN2B-AS1
1099,TCEAL6,ATXN7L3
1100,SPOCK3,PIM1
1101,PSME4,RNF13
1102,ELMSAN1,AL645940.1
1103,BMI1,GBP2
1104,FBXO21,Z73420.1
1105,COPS2,AC100805.1
1106,MORF4L2,BMP1
1107,RYR2,PCGF5
1108,PPP1R10,LINC00622
1109,KCNA2,CAV1
1110,WNT2B,CDV3
1111,SACS,CDKN2AIP
1112,NR1D1,ZSWIM6
1113,MT1E,COL8A1
1114,MPRIP,WNT5A
1115,FADS1,FA2H
1116,GTDC1,KCTD8
1117,RUNDC1,GINM1
1118,OPN3,AC004690.2
1119,CORO1C,AKR1B1
1120,JOSD1,IL13RA1
1121,DPYSL3,AC092718.4
1122,LRRFIP1,GPR12
1123,CBX3,SF3B2
1124,RSBN1,CLCN4
1125,STARD4,TRABD
1126,HTR2A,AC127024.6
1127,LINC00622,HERC5
1128,CEMIP2,AL353796.1
1129,ASPHD1,EMC2
1130,MIR31HG,PDE4DIP
1131,RAB12,MS4A7
1132,EDIL3,AL158071.5
1133,LARP4,AC135507.1
1134,CHD1,GLIPR1
1135,SLC7A11,SERTAD1
1136,KLHL21,TCEAL1
1137,WDR47,ITGA2
1138,C1orf52,NPC1
1139,AC110614.1,RABGGTA
1140,RAI1,HLA-E
1141,ARHGAP21,XIAP
1142,SUMF1,DSEL
1143,ABCB9,NPTX2
1144,AC092422.1,ZNF718
1145,ARHGEF7,AC092596.1
1146,PLCB1,ANGPT1
1147,BHLHE41,THAP11
1148,MAT2A,CLEC7A
1149,MLF1,AC007952.4
1150,AC137932.2,ABHD17A
1151,CACNA2D1,EPS8
1152,USP25,AP5M1
1153,KCNG3,SCT
1154,DNAJC21,SPARC
1155,ATP5F1E,MS4A14
1156,CAMTA1,AC138646.1
1157,ZNF546,BAG6
1158,NUDT11,KHSRP
1159,GPR22,COL5A1
1160,TMEM117,PEX12
1161,ATP5F1D,NHEJ1
1162,AEBP2,AL078622.1
1163,PDS5A,EBF4
1164,MAP2,ADAMTS1
1165,GCA,FURIN
1166,EGF,ANP32B
1167,AC104806.2,ZNF524
1168,GAS7,BCL2L1
1169,TIAM2,LINC01088
1170,MAGI2,HNRNPUL1
1171,TRRAP,PROX1
1172,MXI1,AP000688.1
1173,NNMT,AC009063.3
1174,XKR6,AKT1S1
1175,SPRY2,CLIP3
1176,ZNF292,HSD17B7
1177,RNF11,CEP152
1178,H2AFZ,STOM
1179,TAFA2,AC093433.2
1180,YWHAH,KLHL6
1181,KIAA1211L,CCDC151
1182,NPC1,LY6G5C
1183,ATN1,AC005674.2
1184,OPRD1,LAMP1
1185,ZCCHC14,AL590434.1
1186,ZNF331,LZTS2
1187,RAI2,IRF2BPL
1188,PASK,EVA1B
1189,EFCAB5,CERNA2
1190,HNRNPK,AL354836.1
1191,ABCA8,LGSN
1192,PSMD12,MTPN
1193,ARFGEF2,AC082651.1
1194,PCSK7,ESAM
1195,RANGAP1,CEBPB
1196,CAMK2B,FGFR1OP2
1197,PCGF5,TMEM144
1198,RPS6KA3,PARVG
1199,MAP1B,TTLL7
1200,ISG20,PDGFB
1201,CASP6,DSE
1202,HS3ST2,LRRC8A
1203,CDK2AP1,FZD1
1204,AASDHPPT,ITPRIPL1
1205,FGF14,SUMO3
1206,LMO2,SLC4A2
1207,PPP1R13B,CCNH
1208,NAF1,RBM22
1209,TTC21B,CCDC69
1210,CSNK1A1,UPF1
1211,ACVR1C,LRFN4
1212,CDC42EP3,AL161734.1
1213,C2orf88,MKLN1-AS
1214,OSBPL3,AC024560.1
1215,OTUD7B,CHN2
1216,SYN3,EIF4G2
1217,MRPS30-DT,DOHH
1218,CAMK2G,SAMHD1
1219,ARFGAP3,LINC-PINT
1220,CXADR,AL513534.2
1221,ANKRD17,AC026979.3
1222,FCHO1,AL137781.1
1223,AC019211.1,OMG
1224,WDR61,KLHDC2
1225,ZNF24,NAP1L2
1226,TMEM233,SMILR
1227,LRRD1,USP3
1228,SCARA3,UNC119
1229,SSX2IP,GPER1
1230,MAP3K7,CD163
1231,AIF1L,ATP10B
1232,CDH10,LINC00463
1233,BCAP29,AC090825.1
1234,RMND5A,AL355672.1
1235,FAM135B,MTUS1
1236,LINC01605,CLIC1
1237,APLP2,RBM7
1238,GUCY1B1,PSMD10
1239,CD247,AC107884.1
1240,ARHGEF12,TNFAIP8
1241,CEBPB,PNMA2
1242,NUCB1,COL6A2
1243,OLMALINC,NGB
1244,SOD1,AQP3
1245,ANKRD18A,STON1-GTF2A1L
1246,CAB39,PCGF1
1247,POU6F2,MIA
1248,AC016687.2,LINC01608
1249,SEC14L2,AC011978.2
1250,ANKLE2,BVES-AS1
1251,KCNK12,ABCC2
1252,KCNA1,GJB1
1253,CHL1-AS2,IKZF1
1254,CCDC61,AL592148.3
1255,MAPKBP1,AL139330.1
1256,RCAN2,GNPDA2
1257,BMPR1A,AC073941.1
1258,ARMC9,CENPB
1259,SPIRE1,WFIKKN1
1260,GOLGB1,CUBN
1261,CFAP299,PRR5L
1262,PTP4A2,CLEC5A
1263,SEMA3A,AC093330.3
1264,EEF1A1,MAT2A
1265,KCNH4,FLII
1266,SNAP91,PDK4
1267,EIF2AK3,TMEM102
1268,MYT1L,TLR7
1269,SLC45A4,MARCKS
1270,TNNT2,AP001007.2
1271,ETV6,NFKB1
1272,CLDND1,COL9A2
1273,ATF4,PPP1R14A
1274,SUDS3,LGR6
1275,COX5B,SERPINA5
1276,SPNS2,CDC42EP1
1277,UBE2D3,S100A6
1278,BIN1,RANBP6
1279,SRI,PASK
1280,AC124854.1,YY1
1281,ODF2L,AC007262.2
1282,TP53BP1,CCNA2
1283,API5,STAT5A
1284,ABTB2,METTL18
1285,GCNT4,SHOC2
1286,HSPA9,AC005332.5
1287,XRN1,CASS4
1288,NHLRC2,ZBTB7B
1289,FAM20C,CHST6
1290,GALNT8,AC083862.3
1291,SLC25A46,AC135050.3
1292,AC087369.2,SLC17A6
1293,ANKS1B,EDA
1294,BHLHE40-AS1,ACSBG1
1295,CPO,LINC01561
1296,ADAM10,ZEB1-AS1
1297,P3H2,AHSA1
1298,TLK2,AMPD3
1299,TRAPPC10,PPM1D
1300,AC114811.2,MGARP
1301,SH3RF2,YPEL3
1302,OGT,PCNA
1303,PPIP5K2,BBS2
1304,TRMT6,SLC31A2
1305,IFFO2,MECOM
1306,HIST1H2BE,CLEC2B
1307,RAD21,MAZ
1308,PTBP3,MORF4L1
1309,FBXO27,HCG11
1310,NOVA2,MIR4300HG
1311,COX6C,PBX3
1312,ERCC1,ABHD13
1313,ICOSLG,SLC30A1
1314,BTBD9,SPTSSA
1315,SMIM13,CDCA7L
1316,UBQLN1,AL353708.3
1317,RGCC,MTRNR2L10
1318,STK4,TERC
1319,PSMB4,GPNMB
1320,RPS6KA6,MAF
1321,GBP2,CCDC121
1322,USP15,PTBP2
1323,ZIM2,NT5DC1
1324,VCL,AL589787.1
1325,ABHD2,AIDA
1326,PRPF40A,DNAJB6
1327,ADAMTS19,GYPC
1328,USP9X,AC112236.3
1329,RPE,AC007106.2
1330,CDYL2,AC069281.1
1331,COL16A1,HEG1
1332,NDUFB2,NUDT3
1333,CCDC47,CLDN5
1334,CDC5L,ATG13
1335,GNPTG,AP001596.1
1336,B4GALNT3,C1QL2
1337,KMT2A,LAMB2
1338,RCOR1,MAP1LC3B
1339,ZNF248,BGLAP
1340,SATB1,AC110809.1
1341,SELENOP,TBC1D5
1342,SORT1,LYL1
1343,METTL9,PSIP1
1344,NFATC3,CAPG
1345,CA7,HS6ST1
1346,NPTX1,CD164
1347,SIRPA,AL365203.2
1348,PTCHD1-AS,SAP30L
1349,MVP,AC005393.1
1350,LINC01505,HIPK2
1351,CTTN,AC112253.1
1352,SERINC1,SSNA1
1353,ZNF483,AC009108.3
1354,UBXN4,OR4N2
1355,NOCT,TMEM81
1356,CSRNP3,AL035425.3
1357,PKP4,AC012405.1
1358,AC091946.1,PRDM8
1359,NR3C1,NYNRIN
1360,CDH18,VSTM2A-OT1
1361,ADAMTS8,AP002812.2
1362,RABGEF1,ARF6
1363,LRRTM2,MYH11
1364,SLC30A1,AC137932.2
1365,EIF2S2,C19orf81
1366,CKB,AC245297.2
1367,PDCD10,CD34
1368,IPO7,PKP1
1369,DENND5B,GTF3C4
1370,SRP19,BACE2
1371,ATAD3C,TUBB4A
1372,STAU2,RIBC2
1373,BAZ2B,SAMSN1
1374,CCDC158,FOSL2
1375,SMARCC2,CCL2
1376,NAV3,ITPRIP
1377,AC103855.3,SERPINA1
1378,AC103810.2,WDR76
1379,MAOB,WFS1
1380,CPE,AP001062.1
1381,DTX3,NOL8
1382,AP000829.1,GXYLT2
1383,CPEB3,IER5
1384,COL6A1,CBLN2
1385,NSD2,AP000547.3
1386,KLHL4,PDP2
1387,SRCIN1,GAREM2
1388,AL157944.1,AP001025.1
1389,RBM26-AS1,CRB2
1390,SOCS4,CYTIP
1391,MYO1E,GAS1
1392,NDUFA4,TLE5
1393,RIPK2,MAP1S
1394,CAMSAP2,CTBS
1395,C2orf69,CREBL2
1396,AGBL4,DKK3
1397,ATP6V0A4,UBA1
1398,PLPPR5,AL589935.1
1399,ZNF770,KCNA1
1400,SLC35F5,SLC1A5
1401,NCOA7,MAL
1402,VSTM2B,PCCA-DT
1403,BTBD8,SEMA6A-AS1
1404,AGPAT4,AC017076.1
1405,AL035670.1,BGN
1406,MTDH,SOD2
1407,BASP1,AL353732.1
1408,CNTN3,CYBA
1409,FAM172A,AC103831.1
1410,PCID2,AC006064.5
1411,ARL8B,PABPC1L2B
1412,RFTN1,GLRA1
1413,CNTN4,PRKACB
1414,SYNPO2,RANGAP1
1415,STAU1,MOSPD2
1416,PRDX1,NPC1L1
1417,THBS2,CIC
1418,DIXDC1,PAIP1
1419,PRPF38B,TMEM119
1420,ITPR1,AL359094.1
1421,AC084816.1,APOE
1422,ENPP4,SNHG25
1423,TMBIM6,ID2
1424,NRIP1,LINC02192
1425,PDLIM4,ARMCX5-GPRASP2
1426,G2E3,AC008060.1
1427,CDK11B,MFNG
1428,MT3,RBM12
1429,ELAVL1,REP15
1430,C3orf38,MSN
1431,RETREG1,WDFY3-AS2
1432,HIPK1,TCIRG1
1433,RNF139-AS1,TSHZ2
1434,LDHB,SLITRK5
1435,TMEM184C,GEM
1436,PILRA,FBLL1
1437,HELLS,AC025038.1
1438,GLP2R,LINC02172
1439,ITPKB,FOSB
1440,PPP2CB,CCNI2
1441,RSBN1L,HPYR1
1442,RARB,AC113370.1
1443,LRRC9,SLC7A11
1444,CIP2A,PHF6
1445,HMGN5,DAXX
1446,HS2ST1,DDIT4L
1447,CENPJ,TREM2
1448,DIP2B,VIM
1449,KDM5A,AL031658.2
1450,RBM24,ATAD3C
1451,CPSF6,PPIA
1452,CCDC186,AC010857.1
1453,FNDC3B,BCL2
1454,BRSK2,CXXC1
1455,THEGL,BAD
1456,TMPO,LLGL1
1457,LINC01983,SGO1
1458,C5orf30,ASF1A
1459,TPPP,TMEM63A
1460,HTR1E,VSIG4
1461,MTRF1L,FBXL7
1462,AKNAD1,AL360091.3
1463,OFD1,MEPCE
1464,SLC22A14,SMARCD3
1465,TASOR,FP236383.5
1466,RALGDS,RASAL3
1467,TLCD4,TCAF1
1468,PDPN,AC131944.1
1469,SFSWAP,AC093159.1
1470,LRBA,LCP1
1471,FGF12,GMFB
1472,SMARCC1,MIF
1473,CHAC1,Z97989.1
1474,IGF1R,MTRNR2L3
1475,SH3BP1,AP000146.1
1476,TRIM2,HIST1H4E
1477,SCN1A-AS1,MAP7
1478,NPIPA5,S100A1
1479,HACE1,AC079414.3
1480,STXBP1,PPM1B
1481,AC073050.1,AC097634.3
1482,CFAP69,HTR1F
1483,YPEL5,TNFRSF10D
1484,KPNA1,AL589702.1
1485,AC006333.1,ATF7IP
1486,SARS,SHMT2
1487,FGFR2,AC093928.1
1488,RCC2,GPR26
1489,TPM4,AC069540.2
1490,TBC1D1,SNPH
1491,SEMA7A,AC005518.1
1492,ETS2,RAD51B
1493,SELENOK,AL110505.1
1494,ZNF106,CCDC88B
1495,OSBPL8,DENND4B
1496,WNT5B,TM4SF18
1497,TENM2,SLC25A1
1498,MYO5A,CLCN7
1499,FBXO11,SLCO1B1
1500,BICC1,AC009754.1
1501,LYST,ALG10B
1502,MARCH10-DT,BTBD3
1503,ADPRHL1,NUP62
1504,HNRNPA3,PHLDA1
1505,NWD2,E2F4
1506,LRRC58,LINC01338
1507,ANKHD1,LINC02019
1508,PIAS2,AIP
1509,AJAP1,CD84
1510,AC116337.3,AC016383.2
1511,CARMIL1,PAFAH1B2
1512,LRRC28,HSPB8
1513,ZNFX1,TRIM8
1514,RELT,LINC01923
1515,NKX6-2,AC012467.2
1516,ZBTB1,PCAT19
1517,PER3,LINC00906
1518,PPP2R2D,VASN
1519,LRRTM3,AC005306.1
1520,CDK18,BROX
1521,STAT4,SNAI2
1522,FAP,LRRC32
1523,SF3B2,CLDN9
1524,AF117829.1,AC084816.1
1525,PPP1R16B,CDHR1
1526,BUD31,PRKCQ-AS1
1527,AHDC1,RRAD
1528,GFOD1,SRI
1529,MCF2L,LINC02726
1530,TCOF1,FRRS1
1531,FCHO2,CLIP2
1532,LINC00923,NAGLU
1533,DNAJC7,GPSM3
1534,RIMS2,LYSMD3
1535,SCAPER,ARL8A
1536,ZMYM2,MRGPRF
1537,IER5L,ADO
1538,ZBTB21,AP006248.6
1539,MCPH1,ZSWIM1
1540,PCSK2,TYROBP
1541,CCT5,AC021915.2
1542,HMBOX1,AL139099.1
1543,LINC02327,MYL12A
1544,EXTL3,SP4
1545,LINC02246,TSPAN1
1546,NME5,APLNR
1547,S100A6,ZNF804A
1548,IRS2,LINC02818
1549,PKNOX2,BARD1
1550,MRPL18,TMEM189
1551,NEDD9,CSTF2T
1552,SLC25A42,PICK1
1553,FER,SRGN
1554,CDH12,AC090772.3
1555,MTHFD1L,CD44
1556,AL357972.1,METTL4
1557,EIF2S3,ITIH5
1558,CAMK1,AC018618.1
1559,PTCSC2,SIRPB2
1560,AL445250.1,HABP2
1561,TPK1,FRMD5
1562,UBE2O,ZMAT3
1563,AC079193.2,JAKMIP3
1564,ANKRD36,PLIN4
1565,DIAPH1,AC002069.2
1566,OSMR,FP236383.4
1567,TOP2B,PMFBP1
1568,NBEA,SREK1
1569,PARM1,RRNAD1
1570,CCDC6,HLF
1571,LINC01578,ANKRD44
1572,GPR158,RBM15-AS1
1573,CCDC18,ZNF217
1574,NPTN,CASC17
1575,LINC00507,AC011416.4
1576,LINC00930,SLC12A7
1577,B4GALT5,AL590652.1
1578,SLC2A3,MYOCOS
1579,USP38,ASPHD2
1580,ENAH,ABCA2
1581,MAATS1,FAM221A
1582,CDKN1B,TMED10
1583,RTN4RL2,AC245297.3
1584,NDUFV2,TCOF1
1585,MOB4,HIST1H2BC
1586,ARPC3,AC109347.2
1587,CHIC1,SLC6A12
1588,TAGLN3,PPP1R15A
1589,ADGRL1,NSMCE3
1590,CCT8,AC233266.2
1591,LDB2,AC005041.3
1592,AP000688.1,AC060814.5
1593,DCAF5,SMAD7
1594,RBM4,BAP1
1595,TRHDE,ALOX5AP
1596,MTHFD2,AP002807.1
1597,MRTFB,LINC02240
1598,HERC2,SLCO3A1
1599,FAN1,AL138820.1
1600,TCAF1,MID2
1601,MYLIP,AC108449.1
1602,GLDC,EDA2R
1603,ABR,PXDC1
1604,KRIT1,BCL2L2-PABPN1
1605,ZXDC,YWHAG
1606,KDM5C,MSL3
1607,CCDC84,TMEM204
1608,GALNT16,CASKIN2
1609,TSHZ3,SIGLEC11
1610,FHOD1,LINC01098
1611,RAB28,C1QC
1612,PER2,CBR1
1613,PMP2,GNG7
1614,CATSPERB,PCDH18
1615,ONECUT2,LINC01849
1616,DNAJB2,SSBP3
1617,ANKRD37,DNAJB1
1618,TOP1,THAP1
1619,LINC02796,CLECL1
1620,UBR1,AC132803.1
1621,ADAMTS2,C1orf105
1622,LINC02254,VCPIP1
1623,C16orf72,AC007666.1
1624,DRP2,ISOC1
1625,H1FX,TLR5
1626,DPYSL2,SRARP
1627,RPL24,AC041005.1
1628,LRRC23,PTAR1
1629,ESYT2,SMAD5
1630,CBFA2T3,AC025178.1
1631,AC010997.3,SLC9A3R2
1632,AP2A2,CCNG2
1633,CATSPER2,PRMT6
1634,RAB40C,SRSF6
1635,RAG1,AC008662.1
1636,BTAF1,C15orf62
1637,C12orf29,NACAD
1638,PPM1L,DNAH10OS
1639,PCBP2,GPR108
1640,SMC1A,CYP27A1
1641,FAM221A,CTXN2
1642,MAPRE1,SERPINF2
1643,NDUFA13,HPGDS
1644,DOC2A,AC027307.2
1645,GRB2,AKAP3
1646,MPP6,LINC02516
1647,SEPTIN11,F8A3
1648,FKBP8,DBN1
1649,PAM,AC007432.1
1650,NRG3,MEX3C
1651,DRD1,RECQL4
1652,MTRR,ZMYND10
1653,AC103855.2,STON1
1654,HSP90B1,RCC2
1655,USF2,PMP2
1656,BMS1,ICOSLG
1657,ADAMTSL4-AS1,LINC02393
1658,RSPO2,AC027279.1
1659,ZBTB18,LRRC4
1660,LRATD1,LINC02714
1661,CMTM4,AC067930.8
1662,SLC36A4,SP1
1663,ALAS1,TLR6
1664,RALGAPA1,NCOA7
1665,POU2F2,SAGE1
1666,AL034347.1,MBP
1667,SERPINB1,NEFH
1668,BMPR2,EHF
1669,MAP2K1,BTG1
1670,CIT,ADORA2A
1671,TMEM183A,CNOT3
1672,CPNE5,FXR2
1673,CLASP1,AC148477.2
1674,SNX10,AL627316.1
1675,HPRT1,PIEZO1
1676,SPATS2,AC099482.2
1677,TTC19,PPP2R1A
1678,FNDC3A,TMEM250
1679,WRNIP1,MIER3
1680,KCNB1,ADRA2C
1681,RNF6,OLIG2
1682,NLK,AIF1L
1683,IER2,AL049840.5
1684,AC007255.1,CXCL16
1685,EIF5B,SEC22B
1686,UBE2K,DDX56
1687,TSPAN7,PNMA1
1688,TMED5,LINC00482
1689,CRKL,S100A9
1690,SUMO1,CARHSP1
1691,NAPG,LINC00836
1692,FAM160A1,LINC00304
1693,AEBP1,KCNV1
1694,FTX,CADM2
1695,PILRB,C3AR1
1696,COP1,PPP1R13L
1697,STARD10,GRN
1698,OLFM2,AC122707.1
1699,PSMB1,DEPDC1B
1700,WDR82,LINC01762
1701,DDIT4,C1QB
1702,CRISPLD1,KRBA2
1703,GPR89B,ARHGEF37
1704,NPY1R,HNRNPA0
1705,ZMAT4,AL159978.1
1706,COBL,CSF1R
1707,DIPK1A,ZBTB20
1708,AC097634.3,OLFM1
1709,INKA2,MSH6
1710,YWHAB,RUNX2
1711,CRPPA,ZNF33A
1712,IGIP,AC100793.4
1713,AP005230.1,ATF7
1714,CAMK2N1,BAZ1A
1715,SYN2,CRADD
1716,HEXIM1,AC245884.9
1717,OTUD3,SASS6
1718,CEP78,AP003117.1
1719,BRD4,HCFC1
1720,GOLM1,APOL1
1721,CGGBP1,ZC3H11B
1722,MAFF,AC015727.1
1723,SLC12A2,FOXO1
1724,CACNB4,AC006449.6
1725,AC104035.1,AC092652.3
1726,CYYR1-AS1,AL109615.4
1727,AC078883.1,FRAT2
1728,PKIG,CUEDC1
1729,PPP1R15B,SYK
1730,TMEM178A,AL031666.3
1731,ANP32A,TJP2
1732,LEMD3,AC091563.1
1733,PPA2,IRAK3
1734,RPL5,LRMDA
1735,C3orf35,EN2
1736,LINC02636,SELL
1737,RPS11,EMP3
1738,SOAT1,PIK3CG
1739,ADRB1,RPP38-DT
1740,ZNF395,PEX5L
1741,ZNF804A,ZBTB3
1742,SYT1,AL589787.2
1743,RSAD1,PCDHGA2
1744,TOPORS,C5orf64
1745,NONO,LEAP2
1746,KCNMB4,CPLX2
1747,RAP2A,CLEC4E
1748,UCHL1,AC015726.1
1749,GDI1,GIMAP7
1750,SLC6A6,CPA6
1751,AC079382.2,RASL12
1752,WDFY3,SS18L2
1753,RPLP1,AC083809.1
1754,GTF2IRD1,RAP1A
1755,CCP110,C9orf78
1756,TBC1D15,AC097105.1
1757,MTHFR,AJM1
1758,FSCN1,TUBA1C
1759,NEBL,AF038458.3
1760,FBXO22,LRR1
1761,REL,HINT3
1762,ARHGEF2,AC037486.1
1763,GNPDA2,LCP2
1764,LUC7L,SELPLG
1765,SERPINA3,AC005064.1
1766,IQCH-AS1,MRFAP1L1
1767,CCDC144NL-AS1,DPF1
1768,CORO2B,TMED5
1769,RNF19A,GLRX
1770,FAM3C,C9orf153
1771,ORC4,AC090198.1
1772,FAM83D,GPR6
1773,LRRC74B,LRRC66
1774,TAOK1,NOTCH4
1775,AC022762.1,SYNE3
1776,RAB11FIP3,DHFR2
1777,AC011511.2,AL049780.1
1778,COG5,PRB1
1779,H3F3B,C1QA
1780,DNM1L,AC026367.3
1781,FLCN,MCL1
1782,LINC00907,TINAGL1
1783,SLC26A11,SLC2A3
1784,PIP4K2B,VPS4A
1785,ASPH,MSTN
1786,AKIRIN1,CLEC2D
1787,LHX2,SOAT1
1788,ADAM23,GPSM2
1789,UBE3D,GOLGA7
1790,PLEKHA5,JUNB
1791,PIK3R1,IMPG2
1792,ATG101,NEDD1
1793,CLTB,HLA-DRB5
1794,NFE2L3,LBX2-AS1
1795,EXOSC6,AC005618.1
1796,BAG4,MC1R
1797,SLC7A14,PTCSC3
1798,TRIB1,TIMELESS
1799,STARD9,CNNM3
1800,RUBCN,ALOX5
1801,C4orf48,AC092881.2
1802,SERPINE3,BACH1
1803,AL360270.2,SLC52A3
1804,INTS6L,ACYP1
1805,TUBA1C,AC142116.2
1806,AC133065.1,CEMIP2
1807,GOLPH3,HNRNPK
1808,ANKRD13C,AC009495.1
1809,KCNJ4,AC092125.2
1810,CCT2,ATMIN
1811,DLGAP2,ABCA12
1812,ZC3H14,PIK3CA
1813,BRAF,AC016396.1
1814,FSTL5,PTGS1
1815,CCT4,SACS
1816,NETO1,AC093606.1
1817,ANTXR2,ARMCX5-GPRASP2-1
1818,MTX2,ADRA2B
1819,OXSR1,KBTBD6
1820,CIPC,AL031056.1
1821,RBM39,IFIT1
1822,CAPS2,TIE1
1823,PPP4R3B,AC100793.2
1824,RORB-AS1,MANEA
1825,NRF1,KYNU
1826,RPAP3,CTF1
1827,LINC00658,PRRG4
1828,ANKRD36C,RNASE6
1829,HACD2,AL050343.2
1830,SMIM12,IRF7
1831,ZC3H12A,AXL
1832,HS6ST1,FNIP2
1833,AC006197.2,ZNF143
1834,JAKMIP2,AC005343.1
1835,STEAP1B,AC124045.1
1836,PNPLA5,TBX3
1837,GPATCH2L,HSPA1L
1838,AC013652.1,SAMD11
1839,TMC7,G3BP1
1840,MICU3,SYNPO
1841,LINC01620,NCMAP
1842,AKAP11,FRMD4B
1843,AL034427.1,AL163541.1
1844,GPHN,AL035588.1
1845,MAN1A2,SPSB1
1846,NCS1,LRIG3
1847,C11orf58,PAF1
1848,PCSK1,INPPL1
1849,ATP2B1,PLXNB3
1850,FAM199X,DPEP2
1851,ACTRT3,ITGB2-AS1
1852,MAST4,NEDD4
1853,NKIRAS1,MEIKIN
1854,TAFA5,NCOA4
1855,MFGE8,LINC01176
1856,AC009704.1,DOK1
1857,CACNG3,NLRC5
1858,GPT2,SNHG9
1859,RPL31,AL353688.1
1860,SYT10,SET
1861,PAK2,AL355499.1
1862,CNOT6L,LINC00332
1863,SORBS1,LILRA4
1864,GABRA2,NCKAP5-AS1
1865,TTC37,INSIG1
1866,RPS6KA2,FAM177B
1867,ZNF273,NR2C2
1868,TBC1D32,AC083862.2
1869,MTPN,EFNB1
1870,DUSP14,TMEM100
1871,MTMR6,GJA1
1872,FKBP3,TRAF3IP3
1873,SLC35E4,AC097468.3
1874,FAM133A,ITGB2
1875,HABP4,MLANA
1876,COX5A,AC108667.2
1877,RAB7A,PCF11
1878,LINC01031,HIST1H2BE
1879,PNRC2,MROH6
1880,TJP1,CD81
1881,MGRN1,MCM3AP-AS1
1882,ARRDC3-AS1,MTURN
1883,DDR1,MC4R
1884,DDX27,AC106845.1
1885,MAP4,HLA-DQB1
1886,PDIA5,UCK1
1887,EXTL2,AC008679.1
1888,HMGB1,CDK5R1
1889,AP1G1,POLDIP3
