,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
8007,SLCO6A1,CSTF3,AL162584.1,TIMM17A
8008,AC079336.4,MMUT,AC104237.3,FLRT3
8009,PAK1IP1,TLL2,NUTM2F,RASAL1
8010,ZNF790-AS1,AC018809.1,AC022535.1,YWHAH
8011,E2F3-IT1,ZNF780A,AC133106.1,CAMSAP3
8012,GGCX,FBXO48,AC018755.1,BZW1
8013,DCD,SOX13,AC067969.2,LETM2
8014,AC122710.2,APTX,DUSP13,NETO1
8015,GK5,AC137579.1,LINC02174,UBR7
8016,AL118522.1,ACO1,MIR122HG,GTF2A2
8017,NFKBIB,AC145124.1,FCGR1A,RTTN
8018,ZBED3,CRYBB2,AC244452.3,ACTG1
8019,EIF4G3,AC105446.1,NPVF,MTFR1L
8020,AL663058.2,ZNF582,AC025272.1,GNAI2
8021,AC026471.4,AL160272.1,LINC01803,ZSCAN23
8022,AC069234.4,ACOT4,AC096734.1,ATRNL1
8023,PDE2A,AC020661.3,PRAMEF18,FGF17
8024,AF001548.2,GABPB1-AS1,IL36A,FARSA
8025,RIMBP3C,AC092338.2,OR11L1,TRIM11
8026,AL352955.1,IFT172,FAM197Y6,TOX
8027,KCTD17,PEPD,PAGE5,AC048341.1
8028,AC090510.3,AMACR,TRAV12-2,CNTLN
8029,AL135926.2,CREBBP,PITX3,ADGRF3
8030,NUP43,CACNA1D,LINC01979,MAP2K7
8031,MANSC4,C15orf40,AC124862.1,PIANP
8032,RNF13,AL583829.1,PKHD1,TRIM32
8033,UQCRC2,ZSCAN1,AC008281.1,LCA5
8034,AL139008.2,KRCC1,LGALS8-AS1,TLCD4
8035,CYP2U1,AP002762.2,OR9I1,RFC5
8036,AC068790.5,COX4I1,NAPSA,PACC1
8037,EIF4E,RBM34,AL023806.1,SH3GLB2
8038,SCOC-AS1,SNAP91,CIDEC,AC127035.1
8039,AL596330.2,LINC00304,REG4,AC096564.1
8040,CLPSL2,C21orf91,MERTK,ZNF567
8041,AC009019.2,AL162385.2,TNNC1,CSPG5
8042,AC010327.5,GABRA5,PAGE1,LINC02296
8043,AC002428.2,SMC5,AC016383.3,ZNF518B
8044,AC010425.1,CU633906.5,LINC01486,AC018682.1
8045,TMEM173,AC239804.1,BPIFB3,IFI44L
8046,AC009835.1,TUT1,AC021504.1,CLK2
8047,AC006364.1,HYLS1,AC093503.1,HDDC2
8048,DPYD,DNAH1,NUTM2A,CDIP1
8049,GRXCR2,SLC38A1,LIPH,POFUT1
8050,AC112236.3,PIGQ,AL662890.1,C12orf43
8051,AL354893.2,DKK2,ALDH3B2,VPS28
8052,AC024619.3,LINC00622,HIST1H1E,SART1
8053,EPS8L2,MEX3B,AC097059.1,MCEE
8054,SCNM1,CCZ1,SYTL3,CROT
8055,AC011498.1,FAM104A,AC012533.1,PCDH8
8056,ADGRB3,B3GNT9,AL451127.2,DSN1
8057,AC097468.4,LINC02664,LINC01070,ZNF213-AS1
8058,AC116609.3,ZNF200,AC144568.2,SCYL3
8059,DGCR10,URB1,AC011921.1,GABRG3-AS1
8060,AL354977.1,RBFA,ZSCAN5C,AC006059.1
8061,GTF3C4,NUDT9,AC020659.1,KCTD21-AS1
8062,AL359551.1,RRAGD,NLRP7,GPR85
8063,FBXL18,SYDE1,AC006064.5,FZR1
8064,AC135050.6,AC135050.6,DEFB103A,LRP5L
8065,ZNF433,PSG8-AS1,MAGEB16,CYP7B1
8066,AC233992.3,ATAD1,LINC01395,PLXND1
8067,ZKSCAN2-DT,AC006333.2,LINC01544,ATP1A2
8068,PUM3,AC091544.4,OR10V1,SIKE1
8069,IVD,PDCD11,AC104472.1,RNPEP
8070,AC068616.2,NFS1,PAFAH2,HSP90AB1
8071,AC005009.2,NOP16,AC020651.1,RAB4B
8072,RGS14,AXIN2,TRGV2,TBC1D13
8073,AP000345.2,RPGR,AC022690.2,KDSR
8074,AC090206.1,TMEM185A,LEUTX,CCDC85C
8075,AC007402.2,AC245452.1,AC026736.1,CROCC
8076,GLCCI1,NOMO2,EBLN1,FAM98C
8077,AL161645.2,ELK4,LINC02053,PPP1R14C
8078,GPATCH1,EIF2A,AL022318.1,TUBB3
8079,AL359538.3,CENPA,TEX13B,MMD
8080,GPATCH3,TMEM141,AP000233.2,GALNT15
8081,CDC42-IT1,TSBP1-AS1,LINC02310,SEZ6
8082,PANO1,AC048382.5,AL353572.4,LRATD1
8083,AC100839.2,RNF13,AC008738.6,MAP3K1
8084,AL590440.1,MICAL3,APOBEC3D,PROS1
8085,MYCBP,AC023983.2,FAM230E,FAM174A
8086,RAET1E,PPIP5K2,AL162724.2,C5orf15
8087,JADE2,MAK,ANKRD1,LINC02609
8088,AL078581.4,CASC3,LRRC3,PPP1CC
8089,CLN6,CABYR,DCAF12L1,DNAH10
8090,AC011603.1,DCAF13,CCDC37-DT,NCAPG2
8091,AC005332.5,MIER2,CTRB2,HERPUD1
8092,ROPN1B,CEBPA,RBBP8NL,ACSL1
8093,AC104996.1,A2ML1-AS1,AL049765.1,POLR1B
8094,OR2F2,TTC30A,AL592078.1,URB2
8095,AC022296.4,CAD,LINC02587,AC004540.1
8096,AC107905.1,OTOL1,AC005999.1,MARCH3
8097,ZNF783,AL589645.1,POTED,AHR
8098,RINL,ZNF668,AL136309.4,ATMIN
8099,AC089998.1,SS18L1,CLYBL-AS2,POLDIP2
8100,ZC3H8,AC012306.2,TAS2R42,GOLT1B
8101,TEX53,ANKK1,AL445072.1,GNL3
8102,ATOH7,DPP10-AS1,LGALS9C,ATP1B2
8103,PRKAG2,SNX27,AC079790.2,AKAP13
8104,LINC02487,HUS1,PRAC2,DOCK6
8105,CCDC168,ZNF16,AC015818.8,SMDT1
8106,TENM3,DAP,LINC01651,THSD4
8107,MAGI2-AS3,CAB39,CXorf49,HBP1
8108,AC002511.2,ACOT7,IFNA4,KLF3
8109,MAPKAP1,UTP14A,AP001476.2,CHAMP1
8110,PSIP1,CERNA1,AC012378.1,PRDX3
8111,NOA1,DHX36,LINC02678,PDLIM5
8112,ZFYVE21,AC188617.1,LINC02329,TTLL9
8113,INTS1,GMIP,AC074132.1,LINC00710
8114,FGF14-IT1,YME1L1,AC099063.4,KCTD21
8115,HSPA14-1,TRPV4,RAET1E-AS1,MICALL1
8116,JARID2-AS1,TEFM,AC108142.1,ZNF718
8117,AC008700.1,USP30,AL162400.3,CAPN5
8118,LINC02724,AL157769.1,TAS2R39,AL109809.5
8119,TNFRSF19,DDHD1,LINC01596,AC005532.1
8120,AL391839.1,OXNAD1,NHSL2,AC127024.2
8121,AC003087.1,AC012065.3,PKN3,ADAMTS8
8122,AC007038.2,MAST1,AP003973.3,STMN3
8123,ACADS,NAIF1,AC005100.2,CCDC159
8124,DDX28,PRAM1,CCL11,NDUFA3
8125,AC130371.2,TRIM52-AS1,AC116348.2,OSBPL7
8126,AC073389.3,BCAM,AF124730.1,MRPL27
8127,DBH,ZNF558,AC068413.1,AS3MT
8128,AC027804.1,EXOC3-AS1,TAS1R2,ARL17A
8129,AC007218.1,PAQR7,AL161851.2,AC092535.4
8130,AL359962.3,C6orf118,AC104031.1,CD27-AS1
8131,AC084824.4,SKAP1-AS1,EZHIP,ABHD16A
8132,RNF181,SH2D1B,AC068506.1,TTC23L
8133,AC079896.1,AC007541.1,LINC02349,SLC22A15
8134,PLK4,TFB2M,AL590483.2,AC068446.2
8135,AP000926.2,RBBP5,AP000547.4,ZCRB1
8136,CNPPD1,AC139530.1,AC027279.2,PRPF19
8137,AL133445.3,VMAC,AC108134.1,H2AFZ
8138,RNF123,RARG,AC008507.5,DRG2
8139,AC079340.1,AP3S2,AL663074.1,AC009093.2
8140,EPM2A,PSMB10,ZBED6CL,PTCHD1-AS
8141,AL359924.1,PIGU,PATE3,BTBD11
8142,AL512662.2,CPNE6,AC112211.1,GATC
8143,POU5F2,PIWIL4,KRT9,ZNF330
8144,DDX39B,CCDC181,CPS1-IT1,SNAP47
8145,CPA4,LINC00461,AC111198.1,BTD
8146,SEC62,CEP295,AC010319.5,SLC35F3
8147,AC008073.2,AL451048.1,AL589182.1,CLEC2L
8148,AARS,GATD1,AC024940.6,CDH13
8149,INSM1,TWIST2,HGFAC,L3MBTL2
8150,AP001007.1,AC024257.1,AC107892.1,AL049840.2
8151,ATP2B4,ZNF410,AL353633.1,C1S
8152,OVOL1,CCDC28A,AC018552.3,NDUFS3
8153,AC084809.1,TRAM1,OSM,AC016821.1
8154,AL109955.1,KBTBD11-OT1,AL032819.1,GAS2
8155,TSTD1,KREMEN2,FMR1-AS1,AP003086.1
8156,AC004053.1,MEF2B,OR10A6,DCBLD1
8157,JMJD4,LINC01239,AC064802.1,CNKSR3
8158,SYTL5,KCNH3,SPANXD,DPF1
8159,LINC02464,AC129803.1,AC100788.1,XBP1
8160,TNFAIP2,ERFE,OR6F1,PINK1
8161,ANKRD34C,SPTY2D1OS,AKR1C4,TMC3-AS1
8162,CCNDBP1,AC005972.3,LINC00210,ZNF583
8163,NPAP1,ZNF606,LINC02706,PSMA2
8164,AC022523.3,AC005772.2,TCAF2C,ALG6
8165,CRELD2,TRIM52,AC010463.2,PAK4
8166,AC020910.5,TRIB3,AL365272.1,KDELR2
8167,LINC02165,C9orf40,LINC00705,RNFT1
8168,SAA2,C19orf73,AL161912.2,FKRP
8169,AL591686.2,SLCO1B1,OR52K2,ABTB1
8170,AL158055.1,SCT,AL136234.1,RASSF1
8171,ENPP3,RESF1,NRTN,CLCN2
8172,BPGM,AC078795.2,AC009305.1,SCAMP2
8173,TRIM35,ARNT2,MFSD6L,MID2
8174,ZNF670,SFT2D2,AC100836.1,ABCF1
8175,AC007938.2,GALNT3,AC010163.2,STK11
8176,AC009063.1,ZNF592,AC008760.1,AC018450.1
8177,TRAPPC3,AC026748.3,SLFN13,ZNF343
8178,AC060814.3,COQ6,AP000356.1,MIR4458HG
8179,AL158090.1,LIG3,AC013476.1,ARHGEF6
8180,BLOC1S6,LRATD2,AC138057.1,TMEM127
8181,LINC02461,AL049780.2,AC011509.2,ECT2
8182,LINC02101,TAF5L,AL590729.1,AL136115.2
8183,C1orf74,CHD1L,LINC01297,SAMD3
8184,AC099342.1,NDUFAF7,AC009133.2,PUS1
8185,AC096576.6,AC022146.2,LINC01589,FAM241A
8186,AC015871.4,PGAP3,SLC9A9-AS2,POU6F2
8187,GLMP,ODF3B,XAGE5,GPLD1
8188,DOHH,STXBP4,AC026462.3,C2
8189,PURB,HDX,BX640514.2,BMP7
8190,LINC02450,EN2,AC018464.1,BCL10
8191,STH,TWISTNB,AC018685.1,ZGLP1
8192,APBB3,SAP130,AL356441.1,FAM71F2
8193,GOT2,NBPF20,AL451049.1,UBE2D3-AS1
8194,AC004069.1,UBA3,AL603783.1,AC016042.1
8195,HYI-AS1,PRCD,GPC4,MCTS1
8196,SNAPC2,DACT1,AC004882.3,CLK3
8197,LRRC43,REM2,LINC01805,B9D1
8198,RAB17,RGP1,AC019118.1,AC072028.1
8199,AL391597.1,ATP6V1C2,TBC1D28,CDIPT
8200,AC135048.3,ZNF689,AP003032.2,AC106779.1
8201,ASPM,MMGT1,OR4K1,KLHL2
8202,MIGA2,DNAJC4,LINC01953,CUL4B
8203,ZNF620,LRRC45,AC023796.1,STPG1
8204,AC006372.1,PLXNB3,AC022537.1,CCDC117
8205,RAB5IF,KLRB1,IL21,ECT2L
8206,AC092651.3,AC110597.1,AC108477.2,C1orf216
8207,PDCD2,AC068389.1,EGFLAM-AS4,VAMP1
8208,ZNRF3-IT1,AC100834.2,AC069280.2,CBY1
8209,AC022966.2,PRELID3A,CHRNB3,NANS
8210,AL354696.1,EID2B,AC087490.1,DERL1
8211,AC010327.8,AC109454.2,AC022031.1,NUDCD2
8212,ZNF37A,LRRC27,IL1RL2,AP000829.1
8213,AC020634.2,DNAJB5,AL139020.1,ALDH4A1
8214,AL160412.1,C16orf95,AC008243.1,ERVK3-1
8215,AC125793.1,AC004223.4,AC110288.1,USHBP1
8216,ATG2B,AP000892.1,AC025887.1,ADGRG7
8217,DCAKD,GFOD2,AC016027.3,GFRA2
8218,CLRN1-AS1,WASHC1,KRT16,EBAG9
8219,NDUFA7,SDK2,HSD17B3-AS1,ZFHX4
8220,LINC01283,CFAP65,AC145343.1,MIR4500HG
8221,LINC02400,GON4L,BSN-AS1,DNAJA2
8222,DCDC2B,DCTN4,AC103809.1,ARAP1
8223,SLC16A11,EPG5,AL391335.1,USP43
8224,TOR1B,HEATR6,AL450426.1,PRIMA1
8225,AP004606.1,PHF6,GOLGA8T,MYRFL
8226,LINC00051,EIF2AK3,ZNF32-AS2,PRR16
8227,MEIS2,GPR137B,AC135068.1,AC079305.3
8228,AC148476.1,AC005332.7,AL161447.2,AC079779.2
8229,AL020994.1,AL157931.1,AC020922.4,PHF1
8230,PPM1N,PRKRIP1,AC000072.1,YIPF5
8231,FAM47C,DNAJC28,AC111152.2,TRDMT1
8232,SFXN4,ERVK13-1,AL358787.1,HYOU1
8233,AC016722.1,CMTM1,VAMP5,CA8
8234,TMEM201,AC254562.3,AC097654.1,SDC4
8235,PTPN23,PRKCD,CXCL6,PCBP4
8236,KCNJ1,HEATR5A,AC064805.1,ZFY
8237,RNF11,SPDYE5,AC110769.1,BMI1
8238,TNFSF9,KCNE2,AL137789.1,CFLAR
8239,AC079336.5,LINC00665,TGFB3-AS1,CPEB1-AS1
8240,AC107222.2,FAM169B,FAM225B,MOCS1
8241,ZNF214,GANC,AC009159.2,AL139294.1
8242,PTCD3,LIPJ,SERPINC1,AC012213.1
8243,SNX4,ZDHHC7,LINC01148,DIO2
8244,AC136352.3,AL022322.1,FGF3,ATL3
8245,Z82186.1,SLC9A8,NCR3,PLA2G6
8246,ZNF385D-AS1,PSMG1,AP002907.1,AC009404.1
8247,DNAJC10,AL603839.3,AC011407.1,SMNDC1
8248,CITED2,MRPL20-AS1,TSSK2,NEB
8249,CAPN10-DT,DPH3,AL365330.1,CADPS2
8250,ALKAL1,MACO1,LMLN-AS1,NRSN2-AS1
8251,LRWD1,HHIP,AC097520.2,MED8
8252,AL513190.1,OSGEPL1,AC010524.1,PPARGC1A
8253,AC104823.1,AC233992.3,AC090099.1,AL365255.1
8254,Z99127.1,FAM53B,AC006441.3,AC011092.2
8255,ZNF425,DNAAF3,AC097478.2,DKC1
8256,SERF1A,L3MBTL1,AC023483.1,RAB3D
8257,AC016575.1,BX088651.4,AC016550.3,UNC13C
8258,AC092849.3,INO80C,GPX5,SPHKAP
8259,AL450423.2,NPHP4,H1FOO,DPY19L4
8260,AC026427.1,APLNR,LDHAL6B,PHAX
8261,ABCB7,URI1,AC034187.1,AIDA
8262,GPKOW,AC069224.1,TBX3,ZNF682
8263,PSMC4,VTI1B,AL352955.1,NOA1
8264,GRIN2D,RNF149,OR10G4,ZNF552
8265,AL592182.1,SYCP3,MAGEA6,ITM2C
8266,AC008662.1,COLEC11,AL359076.1,GNB1L
8267,ZNF185,OSBPL5,AC073072.1,METTL17
8268,BAD,AC139795.3,AC096659.1,SEPTIN8
8269,LINC01717,AC006058.1,MMP19,NDUFB3
8270,TEKT3,ZNF691,IGBP1-AS1,ZNF324
8271,SELENOF,TAC1,AC005871.1,VDAC2
8272,AC005225.2,AL391840.3,AL049833.2,HACD1
8273,MARC1,AC002465.2,AP001453.3,COPS7A
8274,SPIN2A,PDE6C,TPSB2,ALG14
8275,AC096577.1,BDH1,AC091044.1,ZBTB47
8276,AL133481.3,AC012645.1,SPIB,ETV3
8277,CCDC74A,CATSPERZ,AC002115.1,AC022893.1
8278,AC122129.1,AC090589.2,AC013402.2,AC027097.2
8279,ZP1,SLC29A3,AC037459.3,SEMA7A
8280,UBAP2L,TXNDC12,KCNMA1-AS2,CTH
8281,AL592114.3,AC107032.2,AL713998.1,STUM
8282,LINC01942,MTHFD1,MET,SLC6A16
8283,ZNF597,MINAR2,UTF1,USB1
8284,TUNAR,AL096794.1,AL365273.1,RHBDD2
8285,MEN1,SHLD3,IKBKE,ASB1
8286,AC007100.1,AC079054.1,HOXD-AS2,LINC02595
8287,DIS3,METTL4,AC147651.2,POP5
8288,AC010332.3,AFF4,AL356361.2,FBLN7
8289,AC138356.1,AC091057.3,AL512641.1,TMEM106C
8290,AL445493.3,ATP10B,AC123768.5,UBE2D4
8291,CA1,FRS3,MS4A1,TUBA1C
8292,ING5,FAM104B,AC004221.1,ZNF69
8293,AL359238.1,ZNF490,AC007132.1,STON2
8294,AC012309.2,AC144831.1,NR0B2,BOD1
8295,AL391560.2,JAM3,AC092067.1,ZNF804B
8296,AC040977.1,LIPT2,ZBTB20-AS4,RPS2
8297,KAT14,RC3H1,AC051649.1,ADH5
8298,AC006150.1,PTPRU,AC010891.1,CAMK1G
8299,NBPF3,ANKRD22,TRAJ53,SMIM19
8300,GJC3,ANKMY1,POTEH-AS1,PBX3
8301,NCAPH,CKAP5,TRAV26-2,MMGT1
8302,ECHDC1,BCO2,AC010745.4,PNKP
8303,ACAN,AC009404.1,KRTAP13-1,WDYHV1
8304,AC008662.2,AL049838.1,LINC01751,CCDC170
8305,CFP,NUDT8,LINC02167,RBM4B
8306,AC114316.1,EIF3M,AF233439.2,SMC5-AS1
8307,CHCHD3,MDC1-AS1,OR7G3,POLDIP3
8308,AL162399.1,FAM227B,AL354984.1,POLN
8309,AL360294.1,XKR9,TRIM64C,LRRD1
8310,SAP30,AC007619.1,IQCF5-AS1,TSNARE1
8311,AC006058.2,DRC1,FAM223B,VSTM2L
8312,MRPL14,TSPAN11,TAF11L14,EIF4A2
8313,AL138760.1,MAP3K19,TAAR9,CCDC90B
8314,CCNYL1,AL390728.6,IGLV8OR8-1,COIL
8315,SLC25A34-AS1,AC099343.3,CST11,PPA1
8316,CD320,MAP4K4,AC099541.1,PRRC2A
8317,AC087664.2,AFF3,MYF6,PNMA8C
8318,ARMCX1,ATG3,ZSCAN4,SCO1
8319,AF212831.1,NEMF,RTL3,LINC01483
8320,AC034222.2,ZSWIM7,LINC02841,HPCAL4
8321,AL356055.1,CRYL1,MYO16-AS2,TMEM200A
8322,C20orf27,TMEM220-AS1,AC106786.1,DNAJC24
8323,AC013480.1,CACNA1I,AC013248.1,TIMM8B
8324,RNF112,SFTA3,AC004449.1,SVBP
8325,ANKRD30A,ZFP41,AL592435.2,GRIK1
8326,PRICKLE2-AS2,PTH1R,Z68323.1,SNX18
8327,CLTC,NEK9,AC074096.1,EMG1
8328,LINC00387,AP002892.1,AC011363.1,KANSL2
8329,AC090260.1,ALMS1,EPYC,KMT5C
8330,MEPCE,ACOX3,AC011516.1,IRF2BPL
8331,PHLDB1,AS3MT,PANCR,PTPN23
8332,SARM1,FOLR1,GNG14,ZEB1-AS1
8333,NPHS1,AC008060.4,AL935212.1,HINT3
8334,AC034102.6,AL157786.1,SLC27A2,ARVCF
8335,AC012174.1,MTMR11,CCDC70,SFXN3
8336,RHOB,AC106729.1,RGL3,AIMP2
8337,MRPL4,CD164L2,ENG,ZBTB26
8338,ANP32D,HCG11,AC006538.4,UAP1
8339,TDRP,GRIK3,AC008060.2,DNAH17
8340,ST7-AS2,MATK,TRAT1,DCTN3
8341,AL449403.3,AC091563.1,IL22,AP003469.4
8342,AC012506.2,AC005046.1,AL138478.1,NTMT1
8343,ZKSCAN2,HNRNPLL,LINC02386,WBP11
8344,SAR1A,PPP1R26-AS1,AL353572.3,AC008105.3
8345,AC023509.3,PLPPR3,AL160410.1,AMOT
8346,AP005482.1,CSKMT,AC013439.2,MAN1B1
8347,ACVR2A,UBXN8,AP003498.1,BAIAP2-DT
8348,AC126177.3,PTN,ROR2,ARRB2
8349,THNSL1,SFR1,PDCD4-AS1,GABPB1-IT1
8350,AL139002.1,LUC7L2,AL160271.2,PARVA
8351,GNPTG,HGH1,TRGV3,MMUT
8352,LINC00242,PCDHA12,AC007349.3,PLAGL2
8353,AC008443.9,EMP3,AC004947.1,SHC4
8354,VPS36,ITPKC,LINC00520,AP001924.1
8355,PRKG1-AS1,IGFBP7,AF015720.1,RCBTB1
8356,SNRNP35,ATRN,AL035604.1,DPY19L1
8357,AC078909.2,AL441883.1,GTF3C2-AS1,NOXRED1
8358,CRH,AC023906.3,AC013714.1,INSIG1
8359,NPY,STXBP2,AC022447.3,NAT14
8360,AC068112.1,WDR37,AC022405.1,ERICH3
8361,SCD5,PCSK2,AC079328.2,MRPL48
8362,AC016721.1,AQP4-AS1,AL360295.1,SLC8B1
8363,TKFC,LRRC69,AC018445.1,ENTPD7
8364,AC064805.2,AC018730.1,LINC01653,GABRA6
8365,AC078922.1,AC004817.5,LINC01436,MCOLN1
8366,FAM242E,GMPPB,LINC02604,TSFM
8367,AC008734.2,CPLX3,AC090004.2,ZNF260
8368,REG1B,AL022341.2,AC087399.1,RAE1
8369,AL512603.1,LRRCC1,TST,CNOT8
8370,U47924.3,WNT7A,AC016588.1,SRBD1
8371,MT-CO2,C12orf4,AC091980.2,DPYD
8372,SLC45A2,NOMO3,AC090607.1,ZNF749
8373,AC092803.3,ALDH1L1,AL355922.4,LINC01378
8374,AJ011932.1,PRR34-AS1,AC023469.2,PHF10
8375,NPPA,GSS,AL162719.1,AL161804.1
8376,LEO1,DDAH2,CPA5,VWCE
8377,AC093849.3,ZBTB21,CLDN22,PRELID2
8378,LINC02433,MAP3K4,AL596325.1,IQCH
8379,AL031432.3,HFE,ABALON,ADCK5
8380,AL353072.2,PHKG1,AC022809.1,RNF220
8381,MAN2C1,DRC7,AL132655.1,SIRT7
8382,ABRAXAS2,ZNF467,AC006055.1,EHMT2
8383,SLC49A3,AC067750.1,AC068473.2,MNT
8384,ADGRL2,AL589765.6,CPA2,COQ10B
8385,PKN1,CHGB,LINC01674,FLAD1
8386,ING1,AC093510.2,NABP1,EFCAB10
8387,AC005562.1,ADAMTS9-AS1,AL356310.1,GULP1
8388,AC007557.1,AC124944.3,AC013269.2,EIF4H
8389,ZNF581,IDI2-AS1,AC096708.2,CISD2
8390,OSBP2,CYP4F2,AC113348.1,PON2
8391,AP002428.1,SORCS3,MIR4290HG,ZSWIM3
8392,AC008083.4,AC005753.3,SPDYE9P,RCN1
8393,TMEM108,EMC9,AC139099.1,DNTTIP1
8394,LITAFD,ANKLE1,KCNAB1-AS1,ANKRD20A1
8395,LINC01395,HYAL2,LINC01228,ZNF345
8396,SEPTIN3,ARL5B,HIST2H4A,NMNAT3
8397,DNAJB7,USP9X,LINC00701,GDPD5
8398,AP003068.2,AC010336.8,AC010999.1,PLAC8L1
8399,AC116003.1,SMG1,AC027702.1,LAMP1
8400,ODC1,IPP,AC087286.3,LINC01002
8401,GPATCH11,OR5V1,AC022034.4,SLC45A1
8402,AD001527.1,CABLES2,AC079331.3,C6orf136
8403,LYG2,GPX7,PRKACG,TMEM69
8404,TAGLN,STRADB,SMIM2-IT1,SSRP1
8405,PAX4,NSDHL,AC091167.5,ZNF316
8406,AC018521.7,ACAN,RTP2,JMJD6
8407,AC097713.1,CAPN9,AL136090.1,AC015849.1
8408,RBM17,ZYX,TRAV13-2,MRPS24
8409,VAMP4,TCHH,LINC00964,PGD
8410,ZXDB,GMPPA,FOXS1,PDCD4
8411,AC009159.1,S100A13,ASH1L-IT1,C10orf88
8412,OR14I1,HAP1,ANK3-DT,GRIK3
8413,AC102941.2,AC104035.1,AC068134.1,DUOX1
8414,PRAME,TIMM9,TRBV7-6,CYCS
8415,AL512506.1,LINC02728,CALML5,ALG2
8416,C19orf25,ASAH1,AC092447.8,MYCBP
8417,ABCB11,CHAD,TCL1A,RRP15
8418,AP005899.1,GNPNAT1,AC034213.1,RUNDC1
8419,PRIM2,RINL,AL731575.1,LINC00623
8420,MRPL43,SDHB,AL606970.4,ARL1
8421,PSG6,ZNF273,TRAV26-1,PLCH2
8422,WWC2,SLCO1C1,NPS,EIF5A
8423,FAM180A,AL591895.1,AC105275.2,RAD21
8424,RASAL2,BCL9,MAGEC2,ZDHHC22
8425,INO80-AS1,NUP133,LINC01233,ECE2
8426,LINC02156,WNT7B,ATP6V1G3,AC093849.4
8427,AL445228.2,AL139289.2,AC069061.2,CKMT2
8428,AC124254.2,ARID3B,RNASEH1-AS1,ARHGAP29
8429,GOLGA4,SRPX,LINC01419,DNAJA3
8430,AC010680.5,SERAC1,AC083864.2,MIR31HG
8431,PRSS23,AL359552.1,AC011611.4,FMR1
8432,ZFP92,DNAJB13,AC244102.3,SSR2
8433,ISCA2,ZNF550,AP005273.2,CINP
8434,RIBC2,CEP70,AP001350.1,AC092115.3
8435,PTPRB,ZNF121,DMRTB1,CELSR2
8436,AC105941.1,AL137127.1,AC017116.1,CYB5D2
8437,CBX8,CHI3L1,AL138733.2,TMEM222
8438,PIGH,TRAF1,IFNA17,AC005041.5
8439,PSMD8,C1QTNF9,AC016595.1,MIER2
8440,LINC02538,KIAA1614,AP000547.2,ODC1
8441,AL109615.2,AC026202.2,AC079329.1,PPP4C
8442,GRM2,CENPM,OR2M7,NT5DC1
8443,IPPK,MAMDC4,AC011676.4,IGLON5
8444,AL137018.1,RNFT1,CLPS,CCDC9
8445,AC110792.3,COL20A1,FFAR2,LRRC27
8446,AC022392.1,JAKMIP2-AS1,LINC02420,PDIK1L
8447,SET,LLGL2,HNF4A,SLC25A4
8448,SPNS1,AC090629.1,HOXA-AS3,BLVRA
8449,OR52N4,AC009090.3,LINC01539,MAOA
8450,BX664730.1,CRTAP,AC245052.1,LINC02576
8451,UEVLD,MIS18A,AMY1C,AQP11
8452,AC009276.1,AC026741.1,AC005884.2,CPT1A
8453,LINC01632,ARL6IP6,TRAV8-2,AARS2
8454,IK,RABEP2,ADH7,CACNA1G
8455,AC097110.1,BOLA2B,OR14J1,SPATA2
8456,ANAPC2,TMEM186,LINC00885,TRAPPC4
8457,AC004946.2,ZNF354C,AC087286.4,SMAD7
8458,CNIH4,PIP4K2A,AL606760.3,DDX3Y
8459,AC027449.1,AC027243.3,AC104574.1,EGFR
8460,AC107982.3,PAX6,MCOLN3,GABRR2
8461,AL353748.3,LRRC75B,PRSS58,AC025048.2
8462,ADAP1,ZNF28,AC100861.2,RUVBL2
8463,RPL32,FAM242C,AC140847.1,AC115282.1
8464,PRDM5,AC016687.2,AC025252.1,NAP1L2
8465,AC092803.2,EBLN2,AL354760.1,COX18
8466,AL033381.1,TMEM176A,AC011333.1,CRTAP
8467,AP005262.2,PARG,LINC02719,SLC2A6
8468,ASCC2,ZFYVE19,AC094108.1,FADS6
8469,LINC01654,TRMT5,AP005205.1,MRVI1-AS1
8470,MRPL55,SKIL,AC084879.2,CPEB2
8471,AL137026.1,FGF18,OR2F2,RAB23
8472,AC005100.1,ARMCX3-AS1,AC013457.1,RABEP2
8473,AC092159.2,NXNL1,AL589990.1,MR1
8474,CMAS,SUSD5,SPANXB1,E2F5
8475,AC007834.1,CCDC146,AC067930.4,LINC02802
8476,ATR,ADGRE2,AC093422.2,DMGDH
8477,AC090971.5,GTF3C2,EBF2,AC111006.1
8478,AGBL5-AS1,FEZF1-AS1,AC010422.1,LONRF3
8479,KLF7-IT1,AC009716.1,AC004593.1,AP001442.1
8480,DEPDC1-AS1,DOK1,NPY4R2,PSMB2
8481,AC026333.4,AC097716.1,AL445644.1,BCAP31
8482,BTBD16,AL031985.3,AL139230.1,TYRO3
8483,MXRA5,GPR26,RFPL3,MAT2B
8484,AC007278.1,LINC02367,CREB3L4,TAF13
8485,AL354712.1,FUT4,AC005261.3,CHST10
8486,AL590133.1,SUPT20H,C10orf55,POC1B-AS1
8487,OR56B1,PRR5L,MRPL23-AS1,ZFP37
8488,EPHA1,AC004466.1,DMP1,AC244033.2
8489,IMPDH2,ASH1L,AL627232.1,MTERF3
8490,ASB9,SAMD15,AL133304.1,PROSER1
8491,SLC35F6,AL590235.2,DMRTA2,FAM153A
8492,EDC3,B9D2,AL121601.1,DOCK11
