,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
431,LINC01811,NLRP2,LINC02406,FRMD4A
432,TSC1,COPA,AC068491.3,SLCO3A1
433,TASP1,BEX4,SULT1C4,CLIP1
434,RBFOX1,DYNC1LI2,NTF3,LINC02680
435,SULT4A1,ACTG1,AC096711.2,INO80D
436,ANKRD34C-AS1,AGAP3,AL024497.2,PRRC2C
437,AL359091.1,LINC01006,TREM2,AC074032.1
438,SSBP3,CD27-AS1,LINC01222,SRPK1
439,PTH2R,CNBP,VMO1,RPS24
440,DRP2,SRSF7,CYTL1,PGAP1
441,CDYL2,SS18L2,C5orf38,KIAA1109
442,SPTSSB,CLIP3,IRAK3,GABBR1
443,NNT,BHLHE41,AL590399.3,XRRA1
444,GABBR2,ATP6V1G2,CAPG,MAPK1IP1L
445,NRIR,AC011476.3,ALPK1,APTX
446,AC034195.1,SELENOW,HAMP,GGA2
447,TP53TG5,TUBB4A,LILRB1,ZCCHC2
448,AC093843.1,FBXO2,AL161757.4,CEP350
449,NUDT3,CHD4,SLC15A3,UBA6
450,MYL6B,TMEM235,AC020637.1,YTHDC2
451,MCHR2,MRPL34,AC007922.2,STAU2
452,PDZD7,LURAP1L-AS1,PODN,CELF1
453,AC004784.1,CSTB,GNA14-AS1,CTTNBP2
454,SNRNP70,TMEM179,TGFBR2,AP3B2
455,CFAP221,GOLGA8A,CDH23,NDUFA10
456,RPSA,E2F4,PARP4,LYST
457,PLEKHA1,ARL6IP1,AC011029.1,MFAP3
458,FAM182A,EIF4A1,AC105924.1,UNC13A
459,WSB1,AL359091.1,AC009879.4,ARID1A
460,TCEA2,AC103855.3,HLA-DQA2,TRAF6
461,SATB2,GPR37,HPGDS,PTPRA
462,RIMS3,AC034243.1,AL121852.1,ELP1
463,PEBP4,TMSB4X,SLC35E2A,FYN
464,ORMDL1,BLCAP,LINC02515,GATAD1
465,DYNC1H1,TOMM20,CLEC5A,SS18L1
466,RFPL1S,RPL39,CERS3-AS1,FAM49B
467,TOMM20,ERH,MMP2,GOLGA3
468,SUN1,LRPAP1,AC131956.2,DICER1
469,AC103855.3,LY6E,AC009654.1,USP48
470,FAT3,TCEAL9,RUNX1,PDS5A
471,LRRC28,PITHD1,AL359237.1,TYW1
472,HAR1A,SRP9,THEMIS2,MED13
473,CEP57,NUMA1,APOC2,JAZF1
474,ABHD14A,RPS23,TNFSF14,ST3GAL3
475,GNL1,VGF,LINC01139,STRBP
476,AC239860.4,ADGRB2,KLRC2,KDM5A
477,SMIM19,RPS21,AC136285.3,FAM120B
478,CAMKK1,NCL,HIST2H2BE,EPB41L5
479,GTDC1,PRRT1,AC011043.2,SPEN
480,ZFP14,TJAP1,APOE,SLC27A1
481,CNNM1,RPL5,FAM153A,DOCK9
482,TBC1D24,NDUFS2,LINC02050,ANKS6
483,PALM2-AKAP2,SRP14,PAX9,TRANK1
484,SUSD5,CALM2,MUC5B,HECW2
485,AC009522.1,NEUROD2,AC104389.5,USP36
486,DYNC2LI1,RPL7A,TBX5,STMN4
487,CRYL1,SMTN,GPX8,EXTL3
488,RIMKLA,GRINA,ZBTB20,TMEM181
489,TRERF1,POMZP3,FCGRT,PLEKHA6
490,AC069120.1,ZBTB7A,IRX2,DPY19L2
491,SLC36A1,KRT10,VNN2,MARK4
492,TUBA4A,SRI,AC008759.3,OSBPL6
493,TMEM191C,HNRNPA0,IFITM2,RBM5
494,STAG3,CLTB,TMC1,CTNND1
495,LINC01414,HID1,ZFY-AS1,ESYT2
496,NMNAT2,VPS4A,UST,CSNK2A1
497,RGS4,EPN1,GPRC5A,TAOK1
498,ARSG,SMUG1,FBLN1,TJP1
499,PHF24,PCSK1N,GABRQ,ADD1
500,EPB41,ADAP1,PRRX2,C9orf153
501,SIDT1,MEF2D,AC099343.4,CYTH1
502,HS1BP3,ATG4B,AC108046.1,FBXO34
503,TMEM132D,RPS9,ECM2,SRCIN1
504,FEZ2,MT1M,ABO,OCIAD1
505,CHML,BTF3,AC117464.1,LINC00862
506,CCM2,CAMKV,DAB2,HNRNPA2B1
507,OSGEP,STARD7,AL358335.2,SMURF1
508,CFAP36,DDR1,CTNNA3,PLCL2
509,FAM47E,MT1X,NCF1,TMEM120B
510,AC011472.1,HDGF,AC121764.2,ETV6
511,VAMP1,SNHG6,HCST,SH3RF1
512,FGF22,PLPPR2,ACSF2,RBM14
513,LRRC37A2,TMEM167B,AC017091.1,SRSF5
514,AC092159.1,GIPR,AL391095.1,ABI2
515,VSNL1,STMN3,CD4,LONP2
516,KCNA1,AP003108.1,EWSAT1,PPFIA1
517,KCNS2,HMGCR,NCF4,KMT2A
518,CDK5RAP3,SPSB3,PELI1,PKP4
519,SNN,RGS2,CASP1,DAP3
520,AL353586.1,HERPUD1,AL109838.1,KDM4C
521,GPATCH8,ST8SIA3,HLX-AS1,MOSMO
522,SCN1A,SNX19,NMRK1,CSPP1
