earlyAD,lateAD
ARHGAP5,COL8A1
MARCH10-DT,ADGRL3
GRID2,RET
PABPC1,TMEM167B
KMT2C,TUBA1C
RASGRF2,EID2
FBXO21,CBLN2
GPR22,CEP152
TOX,BAG4
AC005537.1,NUP62
BAZ1B,GRM5
RSBN1,CDV3
CACNA1C,LZTFL1
KIAA1211L,ASF1A
CNBP,FBXL14
AC116337.3,AC092422.1
ATF2,ZBED3-AS1
SMARCA1,RBM48
PLPP7,C9orf78
LINC00622,NDN
CLN8,AMIGO1
MTUS2,FP671120.4
NUDT21,KHDRBS2-OT
DCLK1,RSBN1
CARMIL1,MTURN
DLGAP1-AS4,DDIT4
HTR1E,APLP1
OPA1,PTPRU
MIB1,WDR76
AC092422.1,SLC12A5
AC114811.2,COX6A1
MFGE8,AC138646.1
XIST,MFGE8
WDR49,KAT8
AKAP9,PIGM
LRRD1,ABCA1
PTPN20,RSL1D1
ZNF407,CLTB
MAP1LC3B,PIANP
AGFG1,EID1
CPSF6,PPP2R5D
VPS13C,BCL6
ZFPM2,RMRP
DSCAM,AC005532.1
OLFM2,SLC25A4
RAG1,AP001062.1
DPYD,MSL3
DPM1,RORB
CAMSAP2,OIT3
LINC02138,FCER2
HEBP2,ATG12
AHSA1,AL161734.1
PPP3R1,C5AR1
OGFRL1,RABGGTA
RMND5A,LAMTOR3
AC092384.1,DAXX
LRRTM2,CLDND1
DUBR,CCDC151
STXBP1,SYNGR3
AL589935.1,B4GALNT1
MRTFB,FRAT1
FOXP1,AQP3
CDK5R1,AP000302.1
SFI1,AC092110.1
GADD45GIP1,GYS2
PCGF5,C1orf115
VGLL4,CXXC1
TMEM132C,PLXND1
AC020916.1,HAP1
CYP39A1,ROS1
DNAH11,GPR85
SATB1,CIC
SACS,G3BP1
TPI1,TMBIM6
YWHAB,LRFN5
CDK2AP1,C3orf20
ZNF770,AC015660.3
RYK,SAP30L
BCAP29,EFNA3
SNHG4,ACVR1C
CHL1,HIST1H1E
LRIG1,AC100805.1
TMEM132D,ZNF706
IFT57,AL355472.2
HRH2,CRYAB
MMS22L,CYP39A1
HS3ST2,WDFY3-AS2
DNAJA2,ALG10B
TBC1D1,MXI1
AL158071.3,CCSAP
LTBP1,API5
FKBP8,STIP1
STXBP5L,AC008415.1
NR3C1,LINC-PINT
UBE2R2,POLE
CD63,AC254562.3
FRZB,SLC6A8
TTN-AS1,GAL3ST3
AC093843.1,AC079447.1
Z98742.4,THAP11
SPIRE1,AC005306.1
LINC01620,GLRX
PDHX,KEAP1
GRID1,AC005332.5
AC007091.1,AC093433.2
LRATD1,SCN4B
KDM6B,NBL1
BMPR2,ITPKA
NIM1K,CANX
DLG1,UBA52
WDR47,REEP5
SYN2,CLCA4-AS1
FMN1,STPG2
KIAA0825,AKR1B1
HIST1H2BE,AC233266.2
MAML3,CDH20
ZSWIM6,SRCIN1
PRXL2A,PTP4A2
ANTXR2,AC097634.1
TLCD4,MROH6
LRRC69,CCDC39
SLC7A8,LMAN1
PALLD,CDH18
CWF19L2,MCUB
HELZ,TMEM81
UBE2K,PABPC4
MXI1,NCKIPSD
CPE,SLC8A1
PTMS,AC024560.1
KIAA2026,PPARG
SOX4,NACC2
ARMC9,TCOF1
LINC02254,LGALS9
CDH13,GNB2
DSTN,IL17RC
GATD3A,PCNA
FNIP2,SOX9
ITPR1,ELN
PEBP1,ATRX
MTPN,INPP5F
PDE8B,AP000224.1
YY1,DYNLL2
PVT1,ANO2
PRR16,NKAPL
MAN1A2,AP000766.1
SMAP2,CHRM1
CAST,AC092142.1
AC067956.1,AC233976.1
FAM120AOS,USP3
MYSM1,LNCSRLR
TCEAL6,PHF6
AC087369.2,ATXN7L3B
ZMYM2,BTBD6
TSEN15,AC002069.2
PAQR3,PDZRN4
BNIP3,MYOM1
LINC00507,SPECC1
CPD,CAMK2G
TAX1BP1,RASL10B
SH3BGRL2,PEX12
BCL2L2-PABPN1,DCP2
TUBA8,C4orf3
TXNDC16,SRSF6
GTDC1,PMEPA1
PDGFRB,SRSF8
EPS15,MMP15
ARID1B,PKP1
HNRNPAB,TOMM20
LDHB,AL645940.1
GABRA1,KPNA5
HOOK3,TIAL1
AC245187.2,RBM15-AS1
MAP4K3,RIBC2
GCNT4,SLC25A25-AS1
AC090125.1,MTRNR2L10
PLA2G12B,LINC02192
KCND3,EFCAB5
ZNF395,KLHL17
HRK,FAM217B
CEBPD,FAM199X
LARP1B,AC092125.2
SLC30A1,CALN1
PMEPA1,AC026979.3
SERPINI1,SERPING1
ALDH1A1,GATC
WDR82,ZBTB21
CDYL2,NCOA4
RAB28,HIST1H2BD
AC079382.2,AHDC1
THEGL,FAM200B
TF,TGFBR3
GCNA,POLD1
PACS1,PLXDC2
FERMT3,FAM98B
CDC42EP3,MTUS1
NAMPT,MAT2B
MED12L,PLXNA3
PCSK2,SLC9A3R2
GOLGA6L10,LINC00862
HIST1H4H,WASL
DAPK2,ZMYM3
WNT5B,DDR1
USP15,ARAP1
PIP4K2B,LAMA4
