earlyAD,lateAD
KIAA1549,DAGLA
DDR1,FRG1-DT
PCDH10,STXBP5L
NRG2,TPM3
ZNF19,NUP210L
SLITRK5,LERFS
TMEM52,AC106845.1
PRRT2,UBXN1
IL7,AC099792.1
ADCYAP1R1,PPIA
IFT57,AC018730.1
CFAP300,AMOT
AL353743.2,GINS3
CDS1,MRGPRF
IFT88,ZNF703
CCDC17,AP003393.1
WHRN,MRPL18
FAM182B,DDX3X
LINC01619,FLII
IQUB,CD320
LINC01170,LINC01748
FABP7,YBX1
IFT81,BCAP29
MMRN1,UMODL1-AS1
AL160272.1,GJA5
ADPRHL2,LINC00609
NDRG2,AC002070.1
AL121899.1,DLEU1
C3orf67-AS1,CYBA
RSPH10B2,KLF6
PIH1D3,LYL1
ARX,SLC39A1
MDH1B,SPOCK2
ID4,AC009163.1
TCTE1,CDH5
KY,DACH2
A2ML1,GLRX
IFT172,CYSLTR2
SRGAP1,AC007566.1
TNC,PREX1
AC009522.1,LINC02649
SPA17,LRRC4B
FAP,CACNA1C
ADGRB2,MAP3K11
CACNG6,LCORL
ELMOD1,AP000695.2
NDRG4,DNAH3
DEPP1,CEMIP2
PRDM8,CXXC4
SSBP2,DOCK10
DNAAF4,IER5L
AC090617.5,KCNQ5
CD164L2,PAMR1
PASK,LINC00472
NEDD9,CCNG2
AKT3,IL7
FAM66A,SERINC3
MYEF2,GIPC2
EPM2A,HERC5
ICA1L,PCBD1
DAAM2,PLXDC1
EFCC1,APOL3
LIFR,TK1
DPP10-AS1,HLA-DPA1
KIAA1549L,RPL30
PLSCR4,CDH20
EFR3B,NR4A2
SPATA7,AL589693.1
RIMKLB,YPEL3
COLEC12,JUN
GRIN3B,PPP1CA
PITPNM1,PPARGC1B
FBXO2,PROX1-AS1
SGPP2,FUT1
B3GNT5,ABHD17A
SLC12A7,AC110023.1
SOX1-OT,ADCYAP1R1
AC107029.1,MYORG
AC079354.3,GALK1
LINC00877,AC087280.2
AC027237.3,SIGIRR
AC107464.1,ST6GAL2
MT1G,SLC35A4
ARRDC3-AS1,AGFG1
COL12A1,RNASEH2C
ARHGEF6,PTP4A3
LRRC10B,PLPP2
AC068051.1,HEPN1
STK32A-AS1,CBL
DUSP18,CLDND1
CHORDC1,TMEM109
AP000462.1,KCTD8
AC078788.1,ATP11A
CA3,IFITM2
PLCZ1,OXR1
DOCK11,VIP
LINC00960,SMIM10
AC024941.2,DTX3L
KCNH3,SNX7
NKX2-1,IL18R1
TNFRSF19,CACNA1H
ANKRD66,RNASE4
SQLE,DYTN
MFSD6,USP6NL
BEST4,PDS5B
ALK,SHC3
ARMC2,CA4
LINC00391,KLF10
CXXC4,LCN10
ATP2C2,NOX4
ANO2,PPM1F
AC046134.2,CTDSPL
MPDZ,TRPC4
NDST3,JCAD
ZSCAN1,RAB5C
MEF2C,BID
ADD2,GBP2
RAD51B,LINC01693
NME5,CAPN2
ITPRID2,RPL19
WRAP53,CENPB
C1orf194,TMEM132B
MORN1,C2orf72
MECOM,HEIH
